# U (V)	I (mA)
-0,00032	0,00000
0,97877	0,21439
1,95722	0,43016
2,93632	0,64878
3,91478	0,86488
4,89390	1,07885
5,87400	1,28764
6,85346	1,49889
7,83294	1,70748
8,81178	1,91622
9,78999	2,12741
