# U (V)	I (mA)
-0,00032	0,00000
0,93532	0,69071
1,86966	1,39011
2,80498	2,08394
3,73803	2,78778
4,67174	3,49426
5,60416	4,20622
6,53789	4,93805
7,47099	5,64884
8,40344	6,35907
9,33267	6,22278
