# U (V)	I (mA)
-0,00032	0,00000
1,00018	-0,00037
2,00036	-0,00028
3,00054	-0,00002
4,00073	0,00015
4,99995	0,00045
6,00016	0,00065
7,00071	0,00110
8,00094	0,00145
9,00055	0,00215
10,00146	0,00269
