# extracted with WebPlotDigitizer from pg. 146 of blue book lab manual
# E energy in MeV
# 1/epsilon inverse quantum efficiency
# E		1/epsilon
0.24	1.25
0.25	1.29
0.27	1.33
0.28	1.36
0.30	1.41
0.32	1.46
0.34	1.51
0.36	1.56
0.37	1.61
0.39	1.66
0.41	1.69
0.43	1.74
0.44	1.79
0.46	1.83
0.48	1.86
0.50	1.90
0.52	1.94
0.54	2.00
0.57	2.03
0.59	2.07
