# R over R(T) - warmup - platinum thermometer
# R(T) [ohm]	R_cu [mV]	R_si [mV]	R_nb [mV]
4.3	0.060	0.25	25.07
6.5	0.082	0.23	25.73
8.3	0.103	0.21	26.27
10.6	0.137	0.21	27.02
12.4	0.166	0.20	27.61
14.3	0.198	0.19	28.21
16.2	0.233	0.19	28.85
18.4	0.275	0.18	29.55
20.5	0.314	0.18	30.22
