# R over R(T) - warmup - carbon thermometer
# R(T) [kohm]	R_cu [mV]	R_si [mV]	R_nb [mV]
1.335	0.030	51.85	0
1.275	0.030	28.68	0
1.182	0.030	15.41	0.01
1.105	0.029	9.81	0.02
1.000	0.029	6.03	5.10
0.918	0.030	4.00	23.63
0.770	0.030	2.00	23.66
0.673	0.030	1.31	23.68
0.555	0.031	0.71	23.76
0.378	0.047	0.29	24.57
