# Oscilloscope file ./4K-res-20uA-U.bin
# Channel 2
Time / s;Voltage / V
105.5;0.004
105.75;0.004
106;0.008
106.25;-0.002
106.5;0.004
106.75;0.004
107;0.008
107.25;-0.002
107.5;0.004
107.75;0.004
108;0.008
108.25;-0.002
108.5;0
108.75;0.002
109;0.008
109.25;-0.002
109.5;0.004
109.75;0
110;0.008
110.25;-0.002
110.5;0.004
110.75;0.004
111;0.008
111.25;-0.002
111.5;0.002
111.75;0.004
112;0.008
112.25;-0.002
112.5;0.004
112.75;0.002
113;0.008
113.25;-0.002
113.5;0
113.75;0.002
114;0.008
114.25;-0.004
114.5;0.006
114.75;0.002
115;0.008
115.25;-0.002
115.5;0.004
115.75;0.002
116;0.008
116.25;-0.004
116.5;0.004
116.75;0.004
117;0.008
117.25;-0.004
117.5;0.004
117.75;0.002
118;0.008
118.25;-0.004
118.5;0.002
118.75;0.004
119;0.008
119.25;-0.002
119.5;0.002
119.75;0.002
120;0.008
120.25;-0.002
120.5;0.006
120.75;0.002
121;0.008
121.25;-0.004
121.5;0.004
121.75;0.004
122;0.008
122.25;-0.004
122.5;0.002
122.75;0.002
123;0.008
123.25;-0.002
123.5;0
123.75;0.004
124;0.008
124.25;-0.004
124.5;0.002
124.75;0
125;0.008
125.25;-0.004
125.5;0.002
125.75;0.002
126;0.008
126.25;-0.002
126.5;0.002
126.75;0.002
127;0.008
127.25;-0.002
127.5;0
127.75;0.004
128;0.008
128.25;-0.004
128.5;0.004
128.75;0.002
129;0.006
129.25;-0.004
129.5;0.004
129.75;0.002
130;0.008
130.25;-0.004
130.5;0.002
130.75;0
131;0.008
131.25;-0.004
131.5;0.002
131.75;0
132;0.008
132.25;-0.004
132.5;0.004
132.75;0.004
133;0.008
133.25;-0.004
133.5;0.002
133.75;0.002
134;0.006
134.25;-0.004
134.5;0.002
134.75;0.002
135;0.008
135.25;-0.004
135.5;0.004
135.75;0.002
136;0.006
136.25;-0.004
136.5;0.002
136.75;0.002
137;0.008
137.25;-0.004
137.5;0
137.75;0.002
138;0.008
138.25;-0.004
138.5;0
138.75;0
139;0.008
139.25;-0.004
139.5;0
139.75;0.002
140;0.008
140.25;-0.004
140.5;0.002
140.75;0
141;0.006
141.25;-0.004
141.5;0
141.75;0
142;0.008
142.25;-0.004
142.5;0.002
142.75;0.002
143;0.008
143.25;-0.004
143.5;0
143.75;0.002
144;0.006
144.25;-0.004
144.5;0.002
144.75;0.004
145;0.008
145.25;-0.004
145.5;0.004
145.75;0.002
146;0.008
146.25;-0.004
146.5;0.002
146.75;0
147;0.006
147.25;-0.002
147.5;0.002
147.75;0.002
148;0.008
148.25;-0.004
148.5;0.002
148.75;0
149;0.008
149.25;-0.002
149.5;0
149.75;0.002
150;0.006
150.25;-0.004
150.5;0.002
150.75;0
151;0.008
151.25;-0.002
151.5;0.002
151.75;0.002
152;0.006
152.25;-0.004
152.5;0.002
152.75;0.002
153;0.006
153.25;-0.004
153.5;0.002
153.75;0.004
154;0.008
154.25;-0.004
154.5;0
154.75;0.002
155;0.008
155.25;-0.004
155.5;0.006
155.75;0.002
156;0.006
156.25;-0.004
156.5;0.002
156.75;0.002
157;0.008
157.25;-0.004
157.5;0.004
157.75;0.002
158;0.008
158.25;-0.004
158.5;0.002
158.75;0.002
159;0.006
159.25;-0.004
159.5;0.004
159.75;0
160;0.006
160.25;-0.004
160.5;0
160.75;0.004
161;0.006
161.25;-0.004
161.5;0.002
161.75;0.002
162;0.006
162.25;-0.004
162.5;0.002
162.75;0.002
163;0.006
163.25;-0.004
163.5;0.002
163.75;0.004
164;0.008
164.25;-0.004
164.5;0.004
164.75;0.006
165;0.008
165.25;-0.004
165.5;0.002
165.75;0.002
166;0.006
166.25;-0.004
166.5;0
166.75;0
167;0.008
167.25;-0.004
167.5;0.002
167.75;0.004
168;0.008
168.25;-0.002
168.5;0
168.75;0.004
169;0.008
169.25;-0.004
169.5;0.002
169.75;0.004
170;0.008
170.25;-0.004
170.5;0.002
170.75;0.002
171;0.008
171.25;-0.004
171.5;0.004
171.75;0.004
172;0.008
172.25;-0.004
172.5;0
172.75;0
173;0.008
173.25;-0.004
173.5;0.002
173.75;0.002
174;0.008
174.25;-0.004
174.5;0
174.75;0.002
175;0.006
175.25;-0.004
175.5;0.004
175.75;0.002
176;0.006
176.25;-0.004
176.5;0.004
176.75;0
177;0.008
177.25;-0.002
177.5;0
177.75;0
178;0.008
178.25;-0.004
178.5;0
178.75;0.002
179;0.008
179.25;-0.004
179.5;0.004
179.75;0.004
180;0.008
180.25;-0.004
180.5;0.002
180.75;0.002
181;0.006
181.25;-0.004
181.5;0
181.75;-0.002
182;0.006
182.25;-0.004
182.5;0.002
182.75;0
183;0.006
183.25;-0.004
183.5;0.002
183.75;0.002
184;0.008
184.25;-0.004
184.5;0.004
184.75;0.004
185;0.008
185.25;-0.004
185.5;0
185.75;0
186;0.008
186.25;-0.004
186.5;0.004
186.75;0.002
187;0.008
187.25;-0.002
187.5;0.002
187.75;0.002
188;0.008
188.25;-0.004
188.5;0
188.75;0.002
189;0.008
189.25;-0.004
189.5;0.002
189.75;0.002
190;0.006
190.25;-0.002
190.5;0.002
190.75;0
191;0.008
191.25;-0.004
191.5;0.004
191.75;0.002
192;0.006
192.25;-0.004
192.5;0.002
192.75;0.002
193;0.008
193.25;-0.004
193.5;0.004
193.75;0
194;0.006
194.25;-0.002
194.5;0.002
194.75;0.004
195;0.008
195.25;-0.004
195.5;0
195.75;0
196;0.006
196.25;-0.004
196.5;0.004
196.75;0
197;0.006
197.25;-0.004
197.5;0.004
197.75;0.004
198;0.008
198.25;-0.004
198.5;0
198.75;0.002
199;0.008
199.25;-0.002
199.5;0.004
199.75;0.006
200;0.006
200.25;-0.004
200.5;0.002
200.75;0.002
201;0.008
201.25;-0.004
201.5;0.002
201.75;0.002
202;0.008
202.25;-0.004
202.5;0
202.75;0.004
203;0.008
203.25;-0.004
203.5;0.004
203.75;0.004
204;0.008
204.25;-0.004
204.5;0.002
204.75;0.002
205;0.006
205.25;-0.004
205.5;0.002
205.75;0.002
206;0.008
206.25;-0.002
206.5;0.002
206.75;0.004
207;0.008
207.25;-0.004
207.5;0.002
207.75;0.004
208;0.008
208.25;-0.002
208.5;0
208.75;0.002
209;0.008
209.25;-0.002
209.5;0.004
209.75;0.004
210;0.008
210.25;-0.002
210.5;0.002
210.75;0
211;0.008
211.25;-0.002
211.5;0
211.75;0.004
212;0.008
212.25;-0.002
212.5;0
212.75;0.002
213;0.008
213.25;-0.002
213.5;0.004
213.75;0.002
214;0.008
214.25;-0.004
214.5;0.002
214.75;0
215;0.008
215.25;-0.002
215.5;0.002
215.75;0.004
216;0.008
